cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
Abel,69.0,0,0,0,2,0,2,0,0.0,0,1,0.0675973617307839,n,0.0329670329670329,False,,91.0,0.03296703296703297,0.0,0.5164835164835165
Aboriginal,46.0,0,0,0,2,0,1,0,0.0,0,0,0.0725933593758472,a n s,0.0309278350515463,False,,97.0,0.030927835051546393,0.0,0.5154639175257731
Adam,1.0,0,0,0,0,1,0,0,0.0,0,0,0.0003061224489795,n,0.0,False,,98.0,0.0,0.0,0.5
Advil,59.0,0,0,0,2,0,0,1,0.0,0,0,0.4602473981432063,n,0.240506329113924,False,,79.0,0.0,0.24050632911392406,0.379746835443038
Africa,49.0,0,0,0,2,0,2,0,0.0,0,0,0.0965654354439731,n,0.0404040404040404,False,,99.0,0.04040404040404041,0.0,0.5202020202020202
African,51.0,0,2,0,4,0,4,0,0.0,0,2,0.1211433867147545,a n,0.0606060606060606,False,,99.0,0.06060606060606061,0.0,0.5303030303030303
Alaska,65.0,0,0,0,1,0,1,0,0.0,0,0,0.0679104728604728,n,0.0,False,,100.0,0.0,0.0,0.5
Albert,23.0,0,0,0,0,0,2,0,0.0,0,0,0.0241381055452484,n,0.0,False,,100.0,0.0,0.0,0.5
Alpine,6.0,0,0,0,1,0,2,0,0.0,0,0,0.0081817560694168,a s,0.0,False,,97.0,0.0,0.0,0.5
Alps,7.0,0,0,0,0,0,0,0,0.0,0,0,0.0047645551727184,n,0.0,False,,98.0,0.0,0.0,0.5
Alvin,4.0,0,0,0,0,0,1,0,0.0,0,0,0.0036829753161411,,0.0,False,,91.0,0.0,0.0,0.5
Amazon,32.0,0,0,0,1,0,3,0,0.0,0,0,0.0154631262372468,n,0.0,False,,100.0,0.0,0.0,0.5
America,65.0,0,2,0,3,0,9,0,0.0,0,3,0.1562288476546066,n,0.0707070707070707,False,,99.0,0.06060606060606061,0.0,0.5303030303030303
American,53.0,0,6,0,5,0,9,0,0.0,0,2,0.1445754190281281,a n,0.07,False,,100.0,0.07,0.0,0.535
Americans,59.0,0,3,0,1,0,8,2,0.0,0,1,0.0530776597011451,n,0.0,False,,99.0,0.0,0.0,0.5
Antarctic,53.0,0,0,0,0,0,3,0,0.0,0,0,0.0193540619097614,n s,0.0,False,,100.0,0.0,0.0,0.5
April,26.0,0,0,0,0,0,0,0,0.0,0,0,0.0121,n,0.0,False,,100.0,0.0,0.0,0.5
Arab,54.0,0,3,0,3,0,1,0,0.0,0,2,0.1246766934170559,n,0.03,False,,100.0,0.02,0.0,0.51
Arabic,18.0,0,1,0,0,0,1,0,0.0,0,0,0.0255584247112165,a n,0.0,False,,100.0,0.0,0.0,0.5
Aries,32.0,0,1,0,1,0,0,0,0.0,0,1,0.0392743678757211,n,0.0,False,,97.0,0.0,0.0,0.5
Arizona,44.0,0,1,0,3,0,1,0,0.0,0,1,0.1486183692052273,n,0.04,False,,100.0,0.0,0.03,0.485
Arthur,61.0,0,0,0,0,0,0,0,0.0,0,0,0.1988201324138823,n,0.0,False,,96.0,0.0,0.0,0.5
Asia,67.0,0,0,0,1,0,4,0,0.0,0,0,0.064296163351233,n,0.0,False,,99.0,0.0,0.0,0.5
Asian,55.0,0,1,0,3,0,2,1,0.0,0,0,0.1220440025119701,a n,0.08,False,,100.0,0.08,0.0,0.54
Australia,41.0,0,0,0,1,0,3,0,0.0,0,1,0.033393570362189,n,0.0,False,,100.0,0.0,0.0,0.5
Australian,24.0,0,0,0,1,0,2,0,0.0,0,0,0.0196512569291823,a n,0.0,False,,100.0,0.0,0.0,0.5
Austria,42.0,0,2,0,2,0,1,0,0.0,0,1,0.2193510712808958,n,0.1717171717171717,False,,99.0,0.0,0.0,0.5
BBQ,54.0,0,0,0,1,0,0,0,0.0,0,0,0.0768727263293794,,0.0,False,,100.0,0.0,0.0,0.5
Bambi,15.0,0,1,0,0,0,2,2,0.0,0,0,0.0126828791806876,,0.0,False,,99.0,0.0,0.0,0.5
Band-Aid,71.0,0,3,0,10,0,2,2,0.0,0,5,0.4567731351580338,,0.25,False,,100.0,0.06,0.19,0.435
Barbie,79.0,0,0,0,0,0,4,1,0.0,0,0,0.0183257549192748,,0.0,False,,100.0,0.0,0.0,0.5
Batman,12.0,0,2,0,2,0,1,0,0.0,0,2,0.0400427557714744,n,0.03,False,,100.0,0.03,0.0,0.515
Beatles,52.0,0,1,0,1,0,3,2,0.0,0,1,0.028013419203638,n,0.0,False,,100.0,0.0,0.0,0.5
Beethoven,45.0,0,0,0,0,0,0,0,0.0,0,0,0.0153943321340915,n,0.0,False,,99.0,0.0,0.0,0.5
Belgian,62.0,0,1,0,1,0,1,1,0.0,0,1,0.0490287386611438,a n,0.0,False,,98.0,0.0,0.0,0.5
Belgium,58.0,0,1,0,2,0,0,0,0.0,0,0,0.2284850925081874,n,0.1717171717171717,False,,99.0,0.0,0.020202020202020204,0.4898989898989899
Berlin,59.0,0,1,0,1,0,1,0,0.0,0,1,0.1067117206145188,n,0.0,False,,97.0,0.0,0.0,0.5
Beyoncé,61.0,0,0,0,2,0,2,0,0.0,0,0,0.0860259261454133,,0.0625,False,,96.0,0.0,0.0,0.5
Billy,67.0,0,0,0,1,0,2,0,0.0,0,0,0.0388630905239851,n,0.0,False,,90.0,0.0,0.0,0.5
Bob,40.0,0,0,0,0,0,3,2,0.0,0,0,0.0202087199363101,n v,0.0,False,,99.0,0.0,0.0,0.5
Boston,33.0,0,1,0,0,0,1,0,0.0,0,1,0.0350021951348022,n,0.0,False,,99.0,0.0,0.0,0.5
Brazil,50.0,0,0,0,3,0,1,0,0.0,0,1,0.1932034251006028,n,0.16,False,,100.0,0.16,0.0,0.58
Britain,90.0,0,1,0,4,0,1,1,0.0,0,1,0.2264038200222294,n,0.11,False,,100.0,0.1,0.0,0.55
Britannica,10.0,0,0,0,0,0,0,0,0.0,0,0,0.0190079713697804,,0.0,False,,91.0,0.0,0.0,0.5
British,37.0,0,2,0,5,0,3,0,0.0,0,2,0.1537026180869342,a n,0.1111111111111111,False,,99.0,0.09090909090909091,0.0,0.5454545454545454
Broadway,7.0,0,0,0,0,0,0,0,0.0,0,0,0.0020176742297345,n,0.0,False,,100.0,0.0,0.0,0.5
Buddha,69.0,0,1,0,4,0,3,4,0.0,0,3,0.3793593976891086,n,0.202020202020202,False,,99.0,0.20202020202020202,0.0,0.601010101010101
Buddhism,68.0,0,2,0,4,0,1,2,0.0,0,4,0.5177010919158875,n,0.3333333333333333,False,,99.0,0.32323232323232326,0.0,0.6616161616161617
Buddhist,74.0,0,2,0,7,0,0,2,0.0,0,4,0.7391761918228537,a n,0.5,False,,100.0,0.5,0.0,0.75
CAD,22.0,0,0,0,1,0,2,0,0.0,0,3,0.0228848311036682,n,0.0,False,,76.0,0.0,0.0,0.5
CD,47.0,0,0,0,2,0,0,0,0.0,0,0,0.0495118572661286,n s,0.03,False,,100.0,0.0,0.0,0.5
CEO,77.0,0,2,0,6,0,4,0,0.0,0,2,0.4782443373263851,n,0.3434343434343434,False,,99.0,0.3333333333333333,0.0,0.6666666666666666
CIA,74.0,0,5,0,5,0,4,2,0.0,0,6,0.1758295495894468,n,0.07,False,,100.0,0.0,0.03,0.485
Caesar,65.0,0,2,0,4,0,1,0,0.0,0,3,0.1484673675530818,n,0.08,False,,100.0,0.05,0.03,0.51
Cain,59.0,0,0,0,2,0,1,1,0.0,0,1,0.08342157696269,n,0.0266666666666666,False,,75.0,0.0,0.02666666666666667,0.4866666666666667
