Word,Prototypicality
Abhor,2.06
Gratify,2.5
Fascinate,2.5
Threatened,2.5
Cheerless,2.5
Discontent,2.5
Dishearten,2.5
Discourage,2.5
Forlorn,2.5
Wistful,2.5
Dissatisfied,2.5
Concern,2.5
Rejoice,2.75
Lovesick,2.75
Mournful,2.75
Sullen,2.75
Displease,2.75
Indignant,2.75
Peaceful,2.75
Touchy,2.8
Exultant,3
Please,3
Petrify,3
Blue,3
Despondent,3
Repentant,3
Irritable,3
Disdain,3
Self-satisfaction,3.1
Overjoyed,3.25
Appreciation,3.25
Enraptured,3.25
Terrify,3.25
Depress,3.25
Distraught,3.25
Irk,3.25
Peeve,3.25
Thankful,3.25
Inspiration,3.28
Down,3.5
Irate,3.5
Livid,3.5
Contrite,3.5
upset,3.5
Incense,3.75
Mad,3.75
Scare,4
Blithe,0
Cheer up,0
Cheered,0
Convivial,0
Delectation,0
Exaltation,0
Good-humoured,0
Good-tempered,0
Gay,0
Hearten,0
Jocund,0
Light-hearted,0
Mirth,0
Radiant,0
Relish,0
Revel in,0
Sanguine,0
Schadenfreude,0
Enjoyment,0
Keen,0
Perk up,0
Exuberant,0
Ardour,0
Enthuse,0
Felicity,0
Frisson,0
Gusto,0
Ravish,0
Complacent,0
Fulfil,0
Languor,0
Amuse (verb),0
Divert,0
Hilarity,0
Regale,0
Beguile,0
Bewitch,0
Charm,0
Comfort,0
Covet,0
Crush,0
Enchant,0
Fancy,0
Hanker,0
Keen on,0
Lecherous,0
Need,0
Pine for,0
Prefer,0
Sensuous,0
Titillate,0
Wish,0
Yearn,0
Affinity,0
Amorous,0
Attached to,0
Belonging,0
Cherish,0
Devoted to,0
Dote on,0
Enamour,0
Endear,0
Favour,0
forgive,0
Hold dear,0
In love,0
Inclination,0
Intimacy,0
Lovable,0
Partial to,0
Self-love,0
Take to,0
Tantalize,0
Treasure,0
Warm to,0
Care for,0
Concern for,0
Console,0
Solace,0
Soothe,0
Warm(-hearted),0
Sorry for,0
Feel for,0
Move,0
Touch,0
Admire (verb),0
Approbation,0
Approve of,0
Esteem,0
Idolise,0
Regard for,0
Venerate,0
Worship,0
At-ease,0
At-peace,0
Chill,0
Carefree,0
Comfortable,0
Ease,0
Equanimity,0
Patience,0
Placid,0
Quiet,0
Repose,0
Sang-froid,0
Secure,0
Tranquil,0
Captivate,0
Entertain,0
Perplex,0
Pique,0
Flabbergast,0
Startle,0
StUpefY,0
Consternation,0
Discomposure,0
Disquiet,0
Disturb,0
Discomfort,0
Edgy,0
Freak out,0
Frenzy,0
Fret,0
Ill-at-ease,0
On edge,0
Overwhelm,0
Panicky,0
Perturb,0
Qualm,0
Queasy,0
