Year1,Year2,Event,Death toll,Participants involved,Terms
1851,1851,"Christiana Riot",4,41,christiana riot
1853,1853,Cincinnati riots of 1855,1,600,Cincinnati riot
1855,1855,Cincinnati riots of 1855,1,600,Cincinnati riot
1855,1855,Lager Beer Riot,1,60,beer riot
1855,1855,Portland Rum Riot,1,1000,rum riot
1855,1855,Bloody Monday,22,5,bloody monday
1856,1856,"Sacking of Lawrence, Kansas",1,,sacking lawrence
1856,1856,Battle of Seattle,31,31,battle seattle
1856,1856,Pottawatomie massacre,5,,Cincinnati riot
1857,1857,Dead Rabbits Riot,8,100,"rabbit riot, rabbits riot"
1859,1859,John Brown's raid on Harpers Ferry,19,100,brown raid
1861,1865,American Civil War,1692000,3000000,civil war
1861,1861,Baltimore Riot of 1861,17,,baltimore riot
1863,1863,Detroit Race Riot of 1863,2,200,"race riot, detriod riot"
1863,1863,New York City Draft Riots,120,2000,draft riot
1864,1864,Charleston Riot,9,,charleston riot
1866,1866,Memphis Riots of 1866,48,,Memphis Riot
1866,1866,New Orleans Riot,200,,new orleans riot
1868,1868,Pulaski Riot,9,27,pulaski riot
1870,1870,First New York City Orange Riot,60,,orange riot
1871,1871,"Los Angeles Anti-Chinese Riot, chinese, antichinese",19,500,anti-Chinese riot
1873,1873,Colfax Massacre,150,,colfax massacre
1874,1874,Coushatta Massacre,26,,coushatta massacre
1874,1874,Election Riot of 1874,7,1000,election riot
1874,1874,Battle of Liberty Place,32,8500,"liberty battle, battle liberty"
1874,1875,Vicksburg Massacre,300,,vicksburg massacre
1877,1877,Great Railroad Strike of 1877,,100000,railroad strike
1877,1877,San Francisco Riot of 1877,4,,San Francisco Riot 
1884,1884,Cincinnati Riots of 1884,50,,cincinnati Riot
1885,1885,Rock Springs Massacre,50,,spring massacre
1886,1886,Haymarket Riot,15,,haymarket riot
1886,1886,Bay View Massacre,7,14000,"view massacre, bay massacre"
1887,1887,Thibodaux Massacre,50,10000,thibodaux massacre
1891,1891,Hennessy Affair,11,,hennessy affair
1892,1892,Homestead Strike,17,15000,homestead strike
1894,1894,Pullman Strike,70,250000,pullman strike
1894,1894,Bituminous Coal Miners' Strike,5,180000,"Miner Strike, Bituminous strike "
1897,1897,Lattimer Massacre,19,500,lattimer massacre
1898,1898,Battle of Virden,13,,"Battle Virden, virden battle"
1898,1898,Phoenix Election Riot,12,,"Phoenix Election, election riot"
1898,1898,Wilmington Insurrection,300,2000,Wilmington Insurrection
1899,1899,Pana Riot,7,,Pana Riot
1900,1900,New Orleans Riot,28,,New Orleans Riot
1903,1903,Anthracite Coal Strike,,100000,"Anthracite Strike, coal strike"
1903,1903,Evansville Race Riot,13,1200,Evansville Riot
1905,1905,1905 Chicago Teamsters' Strike,21,1000,"Teamsters Strike, Teamster Strike"
1906,1906,Atlanta Race Riot,27,,Atlanta Riot
1908,1908,Springfield Race Riot,17,5000,Springfield Riot
1910,1910,Johnson–Jeffries Riots,25,,"JohnsonJeffries Riot, johson riot, jeffries riot"
1910,1919,Bandit War Southern Texas,300,,Bandit War
1910,1910,Philadelphia General Strike (1910),,75000,Philadelphia Strike
1912,1912,Lawrence Textile Strike,3,30000,"Lawrence Strike, textile strike"
1912,1912,Grabow Riot,4,,Grabow Riot
