Leader,Terms,Lowest estimate,Highest estimate,Geom. mean estimate,Location,From,Until,Duration
Mao Zedong and Deng Xiaoping,mao zedong,"5,627,560","80,170,000","21,240,562",People's Republic of China,1943,1976,33
Hong Xiuquan,hong xiuquan,"20,000,000","20,000,000","20,000,000",China,1850,1864,14
Joseph Stalin,"stalin, joseph stalin","8,688,614","42,672,000","19,255,143",Soviet Union,1922,1953,31
Adolf Hitler,"hitler, adolf hitler","13,518,250","25,495,692","18,564,944",German-occupied Europe,1934,1945,11
Chiang Kai-Shek,"chiang, kai-shek, kaishek, kai-shek","5,965,000","18,522,000","10,511,124",Republic of China,"1,928",1946,18
"Hirohito, various leaders",hirohito,"3,000,000","14,000,000","6,480,741","In and around East and South East Asia, Oceania and the Pacific","1,937",1945,8
Leopold II of Belgium,king leopold,"3,000,000","13,000,000","6,244,998",Congo Free State,"1,885",1908,23
Vladimir Lenin,"lenin, vladimir lenin","1,101,000","10,442,168","3,390,697",Russian Soviet Federative Socialist Republic,"1,917",1922,5
Ranavalona I,ranavalona,"2,500,000","2,500,000","2,500,000",Madagascar,"1,829",1842,13
Pol Pot,pol pot,"1,386,734","3,400,000","2,171,381",Cambodia,1975,1979,4
Omar al-Bashir,"omar, albashir, bashir","1,063,000","2,530,000","1,639,936",Sudan,"1,989",2019,29
Kim Dynasty,paektu,"710,000","3,500,000","1,576,388",North Korea,"1,948",present,70
Suharto,suharto,"240,500","3,418,000+","906,658+",Indonesia,"1,965",1998,33
Théoneste Bagosora,theoneste bagosora,"500,000","1,100,000","741,620",Rwanda,"1,994",1994,0.27
Mengistu Haile Mariam,"mengistu, haile mariam","225,000","2,000,000","670,820",Ethiopia,"1,977",1987,10
Saddam Hussein,saddam hussein,"200,000","2,000,000","632,456",Iraq,"1,979",2003,24
Ante Pavelić and Nikola Mandić,"ante pavelic, nikola mandic","300,000","1,088,000","571,314",Croatia,"1,941",1945,4
Milton Obote,milton obete,"300,000","1,000,000","547,723",Uganda,"19,661,980",19711985,10
Ho Chi Minh and the Viet Cong,"chi minh, viet cong","145,225","1,082,000","396,401",Vietnam,"1,954",2000,46
Benito Mussolini,"mussolini, benito mussolini","158,000","628,000","314,998","Italy, Libya, Ethiopia, Yugoslavia, Greece","1,922",1945,24
Francisco Franco,francisco franco,"195,000","265,000","227,321","Spain, Austria, and Russia","1,939",1975,36
Idi Amin,idi amin,"100,000","500,000","223,607",Uganda,"1,971",1979,8
Josip Broz Tito,"Josip Broz, broz tito","60,000","802,000","219,363",Yugoslavia,"1,944",1980,36
Michel Micombero,michel micombero,"100,000","300,000","173,205",Burundi,"1,966",1976,10
FRELIMO,frelimo,"83,000","250,000","144,049",Communist Mozambique,"1,975",1999,24
Syngman Rhee,syngman rhee,"60,000","200,000","109,545",South Korea,"1,950",1950,1
Siad Barre,siad barre,,"200,000","100,000",Somalia,"1,988",1991,3
Ruhollah Khomeini and Ali Khemenei,"khomeini, khemenei, khamenei","48,482","87,500","65,132",Iran,"1,979",2024,39
Francisco Macías Nguema,"Francisco Macias, Macias  Nguema, nguema","50,000","80,000","63,246",Equatorial Guinea,1968,1979,11
Ahmed Sékou Touré,"ahmed toure, toure","50,000","50,000","50,000",Guinea,1958,1984,26
Rafael Trujillo,"trujillo, rafael trujillo","50,000","50,000","50,000",Dominican Republic,1930,1960,30
François Duvalier,duvalier,"30,000[509]","60,000[509]","42,426",Haiti,1957,1971,14
Hissène Habré,hissene habre,"40,000","40,000","40,000",Chad,1982,1990,8
Maximiliano Hernández Martínez,"hernandez martinez, Maximiliano Martínez","10,000","40,000","20,000",El Salvador,1931,1944,12
Ferdinand Marcos,ferdinand marcos,"3,257","80,000","16,142",Philippines,1965,1986,21
"Jiang Zemin, Hu Jintao, and Xi Jinping","Jiang Zemin, Hu Jintao, Xi Jinping","3,700","66,390","15,673",China,1993,2024,28
Enver Hoxha,Enver Hoxha,"5,000","25,000","11,180",Albania,1941,1985,44
Grégoire Kayibanda,"grogoire kayibanda, kayibanda","10,000","10,000","10,000",Rwanda,1962,1973,11
Johnny Paul Koroma,koroma,"6,000","6,000","6,000",Sierra Leone,1997,1998,1
Fulgencio Batista,fulgencio batista,"1,000","20,000","4,472",Cuba,1952,1959,7
Jean-Bédel Bokassa,"Jeanbedel bokassa, bokassa",100,"90,000","3,000",Central African Republic,1966,1976,10
Park Chung Hee,chung hee,"2,104","3,514","2,719",South Korea,1961,1979,18
Chun Doo Hwan,doo hwan,"1,114","2,814","1,771",South Korea,1981,1988,8
Mass killings of landlords under Mao Zedong,mao zedong,"200,000","28,000,000","2,366,432",People's Republic of China,1947,1951,4
Queen Victoria,queen victoria,,,,United Kingdom,1837,1901,64
Queen Elizabeth,"queen elizabeth, elizabeth second, elizabeth ii",,,,United Kingdom,1952,2022,70
King George VI,"king geroge, george sixth, george vi",,,,United Kingdom,1936,1952,16
King Edward VIII,"king edward, edward vii, edward seventh",,,,United Kingdom,1901,1910,9
King George VI,"king george, george v, george fifth",,,,United Kingdom,1910,1936,26
Mahatma Gandhi,"mahatma gandi, gandi",,,,India,1893,1948,55
Nelson Mandela,nelson mandela,,,,South Africa,1991,1997,6
Martin Luther King Jr,"marthin luther, luther king",,,,United States,1957,1968,11
Malcom X,"malcom x, malcom",,,,United States,1964,1965,1
Sitting Bull,sitting bull,,,,United States,1867,1890,23
Tsar Nicholas II,"tscar nicholas, nicholas ii",,,,Ruassi,1894,1918,24
Winston Churchill,Winston Churchill,,,,United Kingdom,1940,1945,5
Margaret Thatcher,Margaret Thatcher,,,,United Kingdom,1979,1990,11
Angela Merkel,Angela Merkel,,,,Germany,2005,2021,16
Vladimir Putin,vladimir putin,,,,Russia,2008,2024,16
Mikhail Gorbachev,"Mikhail Gorbachev, Gorbachev",,,,Soviet Union,1990,1991,1
Georgy Malenkov,"Georgy Malenkov, malenkov",,,,Soviet Union,1953,1953,0
Nikita Khrushchev,"Nikita Khrushchev, Khrushchev",,,,Soviet Union,1953,1964,11
Leonid Brezhnev,"Leonid Brezhnev, Brezhnev",,,,Soviet Union,1964,1982,18
Yuri Andropov,"Yuri Andropov, Andropov",,,,Soviet Union,1982,1984,2
Konstantin Chernenko,"Konstantin Chernenko, Chernenko",,,,Soviet Union,1984,1985,1
