Name,"Years active","Proven victims","Possible victims"
"Little, Samuel",1970–2005,61,93+
"Ridgway, Gary",1982–1998,49,90+
"Gosnell, Kermit Barron",1998–2009,48,200+
Harpe Brothers,1797–1804,39,50+
"Harvey, Donald",1970–1987,37,80
"Gacy, John Wayne",1972–1978,33,33+
"Espinosa, Felipe",1863,32,32
"Bundy, Ted",1971–1978,28,30+
"Corll, Dean",1970–1973,28,28+
"Corona, Juan",1971,25,25+
"Gunness, Belle",1900–1908,25,40
"Dominique, Ronald",1997–2006,23,23+
"Bartlett, Polly",1868,22,22
"Nelson, Earle",1926–1927,22,22+
"Stano, Gerald",1969–1980,22,41+
"Watts, Carl Eugene",1974–1982,22,100
"Bonin, William",1979–1980,21,36+
"Eyler, Larry",1982–1984,21,24
"Kearney, Patrick",1965–1977,21,43
"Mason, Samuel",1797–1803,20,20+
"Cottingham, Richard",1967–1980,18,85–100
"Gecht, Robin",1981–1982,18,18
"Hale, William",1921–1925,18,24+
"Knowles, Paul John",1974,18,35
"Kokoraleis, Andrew",1981–1982,18,18
"Kokoraleis, Thomas",1981–1982,18,18
"Spreitzer, Edward",1981–1982,18,18
"Woodfield, Randall",1979–1981,18,44
"Dahmer, Jeffrey",1978–1991,17,17
"Hansen, Robert",1971–1983,17,21+
"Cole, Carroll",1947–1980,16,35
"Kraft, Randy",1971–1983,16,67
"LaRette, Anthony",1976–1980,16,31
"Cooks, Jessie Lee",1973–1974,15,73+
"Green, Larry",1973–1974,15,73+
"Moore, Manuel",1973–1974,15,73+
"Ramirez, Richard",1984–1985,15,15
"Simon, J.C.X.",1973–1974,15,73+
"Turner, Chester",1987–1998,15,16
"DeAngelo, Joseph James",1979–1986,13,13+
"Hassell, George",1917–1926,13,13
"Jones, Syd",1900s–1914,13,13
Queho,1909?–1919,13,23
"Sinclair, Charles T.",1980–1990,13,13+
"Yates, Robert Lee",1975–1998,13,18+
"Bianchi, Kenneth",1977–1978,12,12
Briley Brothers,1979,12,21
"Chavez, Juan Rodriguez",1985–1995,12,12
"Christopher, Joseph",1980–1981,12,12+
"Gilyard, Lorenzo",1977–1993,12,13
"Martinez, Jose Manuel",1978–2013,12,36
"Pough, James Edward",1971–1990,12,12
"Shawcross, Arthur",1972–1989,12,14
"Sherman, Lydia",1863–1877,12,12
"Suff, William",1974–1992,12,22
"Tholmer, Brandon",1981–1983,12,34
"Toppan, Jane",1895–1901,12,31+
"Atkins, Benjamin",1991–1992,11,11
"Baumeister, Herb",1980–1996,11,20
Bender Family,1869–1872,11,11+
"Crawford, Andre",1993–1999,11,11
