Terms,Types
hydraulic accumulator, technology
flush toilet, technology
elevator, technology
brake elevator, technology
color photography, entertainment
plastic, technology
refrigerator, technology
rechargeable battery, technology
carbon fiber, technology
pasteurization, food
black powder, war tech
dynamite, war tech
stainless steel, technology
metal detector, technology
electrical generator, technology
film, entertainment
movie, entertainment
phonograph, entertainment
light bulb, technology
steam turbine,  technology
cell battery, technology
chlorofluorocarbons, technology
cinematograph, entertainment
electric oven, food
diesel engine, technology
cinema, entertainment
vaccum cleaner, technology
gas turbine, technology
telephone, technology
television, entertainment
microscope, technology
nylon,technology
nuclear energy, technology
nuclear fission, technology
bomb project, war tech
ballistic missile, war tech
atomic bomb, war tech
Manhattan Project, war tech
microwave oven, food
atomic clock, technology
video game, entertainment
nuclear power, war tech
video tape, entertainment
video recorder, entertainment
tape recorder, entertainment
Sputnik, technology
electronic cigarette, technology
ecigarette, technology
packet switching, technology
user interface, technology
touchscreen, technology
touch screen, technology
dna sequence, technology
selfdriving car, technology
satellite navigation, technology
gps, technology
flash memory, technology
space shuttle, technology
media player, entertainment
cd rom, entertainment
satellite television, technology
dna profiling, technology
electric vehicle, technology
internet, technology
wide web, technology
memory card, technology
search engine, technology
sim card, technology
bluetooth, technology
compact disc, technology
online food,food
blog, technology
weblog, technology
social media, technology
stem cell, technology
mp3 player, entertainment
bluray, technology
download, technology
facebook, brand
podcast, technology
youtube, brand
netflix, brand
soundcloud, brand
blockchain, technology
block chain, technology
cryptocurrency, technology
crypto, technology
bitcoin, brand
solar sail, technology
quantum machine, technology
hiv treatment, technology
cancer immunotherapy, technology
nft, technology
genetic engineering, technology
genetics,   technology
genome editing, technology
crispr, technology
gravitational waves, technology
nintendo switch, entertainment
black hole, technology
artificial intelligence, technology
download, technology
hbo, brand
twitter, brand
satellite television, technology
warner brother, brand
cnn, brand
ebay, brand
search engine, technology
ipod, technology
user interface, technology
cable, technology
browser, technology
dell, brand
mtv, brand
video, entertainment
electronic, technology
nbc, brand
fiat, brand
tv, entertainment
netflix, brand
dvd, technology
disney, brand
digital, technology
podcast, technology
toyota, brand
artificial intelligence, technology
yahoo, brand
sony, brand
firewall, technology
silicon, technology
analog, technology
wifi, technology
broadband, technology
site, technology
honda, brand
cisco, brand
computing, technology
website, technology
software, technology
compact disc, technology
facebook, brand
intel, brand
upload, technology
laptop, technology
online, technology
filmmaker, entertainment
nissan, brand
microsoft, brand
blogger, entertainment
desktop, technology
aol, brand
television, entertainment
youtube, brand
wireless, technology
nike, brand
blockbuster, brand
screen, technology
chrysler, brand
google, brand
worldcom, brand
pc, technology
computer, technology
touchscreen, technology
recording, entertainment
virtual, technology
clip, technology
lens, technology
video, entertainment
videotape, entertainment
snapshot, technology
audio, technology
footage, technology
dvd, technology
bluray, technology
optical, technology
photography, entertainment
digital, technology
lense, technology
hard disk, technology
tape recorder, entertainment
cd, technology
tape, technology
picture, technology
analog, technology
cassette, entertainment
photographic, entertainment
satellite, technology
projector, technology
photographer, entertainment
video recorder, entertainment
stereo, technology
compact disc, technology
camera, technology
film, entertainment
microphone, technology
soundtrack, tech
disk, technology
zoom, technology
multimedia, technology
vinyl, entertainment
hardware, technology
touchscreen, technology
database, technology
programmer, technology
biotech, technology
hard disk, technology
robotic, technology
firewall, technology
robotics, technology
computing, technology
calculator, technology
software, technology
laptop, technology
automated, technology
tech, technology
technology, technology
genetic engineering, technology
desktop,technology
gadget,technology
keyboard, technology
device, technology
wireless,technology
screen,technology
technical,technology
black hole, technology
solar system, technology
nucleus, technology
nebula, technology
supernova, technology
spaceship, technology
big bang, technology
fireball, technology
space shuttle, technology
eclipse, technology
meteorite, technology
outer space, technology
neutron, technology
radiation, technology
nuclear fission, technology
uranium, technology
nuclear power, war tech
radioactive, technology
reactor, technology
nuclear, technology
atomic, technology
hydrogen, technology
atom, technology
atomic bomb, war tech
nuclear energy, technology
bomb, war tech
gunpowder, war tech
missile, war tech
space shuttle, technology
rocket, war tech
longrange, war tech
blackpowder, war tech
ballistic missile, war tech
rna, technology
stemcell, technology
cell, technology
mammogram, technology
genome, technology
genetics, technology
chromosome, technology
genetic, technology
amino acid, technology
stem cell, technology
biology, technology
genetic engineering, technology
gene,technology
fingerprint,technology 
xray, technology
molecular, technology
mutation, technology
dna, technology
molecule, technology
volvo, brand
automobile, technology
sedan, brand
engine, technology
suv, brand
porsche, brand
cruiser, technology
hybrid, technology
wheel, technology
diesel engine, technology
minivan, brand
diesel, technology
electrical generator, technology
car, technology
cadillac, brand
electric vehicle, technology
battery, technology
automotive, technology
motor, technology
honda, brand
cisco, brand
intell, brand
aol, brand
boeing, brand
enron, brand
sony, brand
twitter, brand
ebay, brand
fiat, brand
nissan, brand
nike, brand
toyota, brand
disney, brand
hermes, brand
hyundai, brand
bmw, brand
sedan, brand
walmart,brand
cocacola,brand
fedex, brand
