Event,Terms,"Lowest 
estimate","Highest 
estimate",Geometric meanestimate[1],Location,Start,End,Duration,Event Type,
World War II,"world war, holocaust","35,000,000","118,357,000[3]","70,000,000",Worldwide,1939,1945,6 years and 1 day,War,
Taiping Rebellion,taiping rebellion,"20,000,000","30,000,000[12]","28,284,271",China,1850,1864,14 years,War,
Second Sino-Japanese War,sinojapanese,"18,000,000","22,000,000[21]","19,899,748",China,1937,1945,"8 years, 1 month, 3 weeks and 5 days",War,
World War I,world war,"15,000,000","32,500,000[22][23]+[24]","20,000,000",Worldwide,1914,1918,"4 years, 3 months, 1 week",War,
Dungan Revolt,dungan revolt,"10,000,000[citation needed]","10,000,000[citation needed]","10,000,000",China,1862,1877,15 years,War,
Chinese Civil War,"chinese war, chinese civil","8,000,000[26]","11,692,000[27]","9,671,401",China,1927,1949,14 years[b],War,
Russian Civil War,"russian war, russian revolution","5,000,000[citation needed]","9,000,000[28]","6,708,204",Russia,1917,1921,5 years,War,
Second Congo War,congo war,"2,500,000[34]","5,400,000[35]","3,674,235",Democratic Republic of the Congo,1998,2003,6 years,War,
Korean War,korean war,"1,500,000[39]","4,500,000[39]","2,598,076",Korean Peninsula,1950,1953,4 years,War,
Vietnam War,vietnam war,"966,000[43]","3,800,000[44]","1,915,933",Southeast Asia,1955,1975,20 years,War,
Nigerian Civil War,"Biafran War, nigerian civil, neigerian war","1,000,000","3,000,000[47]","1,732,051",Nigeria,1966,1970,4 years,War,
Second Sudanese Civil War,"Sudanese Civil, sudanese war","1,000,000[51]","2,000,000","1,414,214",Sudan,1983,2005,23 years,War,
Soviet–Afghan War,"sovietafghan war, sovietafghan","600,000[52][unreliable source?]","2,000,000[52][unreliable source?]","1,095,445",Afghanistan,1980,1988,9 years,War,
Mexican Revolution,mexican revolution,"500,000[54]","2,000,000[54]","1,000,000","Mexico, United States",1911,1920,10 years,War,
Panthay Rebellion,Panthay Rebellion,"890,000[citation needed]","1,000,000","943,398",China,1856,1873,18 years,War,
Ethiopian Civil War,"Ethiopian Civil, Ethiopian War","500,000","1,500,000","866,025",Ethiopia,1974,1991,17 years,War,
American Civil War,civil war,"650,000","1,000,000","806,226",South­eastern United States and Pennsylvania,1861,1865,4 years,War,
Indian Rebellion of 1857,indian rebellion,"806,000+","806,000+","806,000+",India,1857,1858,1 year,War,
Bangladesh Liberation War,"Bangladesh War, Bangladesh Liberation","200,000","3,000,000","774,597",Bangladesh,1971,1971,1 year,War,
Algerian War,Algerian War,"350,000","1,500,000","724,569",Algeria,1954,1962,"7 years, 4 months, 2 weeks, and 4 days",War,
Spanish Civil War,"Spanish Civil War, spanish war","500,000","1,000,000","707,107",Spain,1936,1939,4 years,War,
Iran–Iraq War,"iraniraq war, iraniraq","289,220
[citation needed]","1,100,000
[citation needed]","564,041",Iran–Iraq border,1980,1988,8 years,War,
Angolan Civil War,"Angolan War, Angolan Civil","504,158","504,158","504,158",Angola,1975,2002,27 years,War,
First Sudanese Civil War,"Sudanese Civil, Sudanese War","500,000","500,000","500,000",Sudan,1955,1972,17 years,War,
Colombian conflict,Colombian conflict,"450,000[57]","450,000","450,000",Colombia,1964,Present,59 years,War,
First Congo War,Congo War,"250,000","800,000","447,214",Zaire,1996,1997,1 year,War,
First Indochina War,Indochina War,"400,000","400,000","400,000",Southeast Asia,1946,1954,8 years,War,
Somali Civil War,"Somali War, Somali Civil","300,000","500,000","387,298",Somalia,1986,Present,35 years,War,
Crimean War,Crimean War,"356,000","410,000","382,047",Crimea,1853,1856,3 years,War,
Cuban War of Independence,"Cuban War, cuban independence","362,000","362,000","362,000",Cuba,1895,1898,3 years,War,
Iraq War,iraq war,"268,000[56]","461,000[58]","351,494",Iraq,2003,2011,8 years,War,
Boko Haram insurgency,Boko Haram,"350,000","350,000","350,000","Mainly Nigeria, also Cameroon, Niger, Chad",2009,Present,14 years,War,
War in Darfur,"Darfur, darfur war","178,258","461,520","286,827",Sudan,2003,Present,18 years,War,
Second Italo-Ethiopian War,"ItaloEthiopian, ItaloEthiopian War","278,350","278,350","278,350",Ethiopia,1935,1937,"1 year, 4 months, 2 weeks, and 2 days",War,
Paraguayan War,Paraguayan War,"150,000","500,000","273,861",Southern Cone,1864,1870,7 years,War,
