Year,Event name,Entites,Terms
1854,Crimean War (fought between Russia and Turkey),"russia, russian, turkey, turkish",Crimean War
1859,"John Tyndall, the British scientist, described the concept that the carbon dioxide (CO2) and water vapor trapping heat in the atmosphere. Further, he suggested that the changing in the concentration of gases could bring climate change","co2, carbon, dioxide, tyndall, climate","Tyndall Hypothesis, Tyndall experiment, "
1861,Russia abolished serfdom,"russia, serfdom",serfdom
1861,"American Civil War, took place between the Union and seceding Confederacy","union, confederacy, america, american, civil, lincoln",civil war
1862,The first paper money was issued in the United States,money,paper money
1865,"President of the United States, Abraham Lincoln was assassinated","usa, lincoln, united states","Abraham Lincoln, lincoln assassination"
1869,Dmitri Mendeleev created Periodic table,mendeleev,"Dmitri Mendeleev, Periodic table"
1886,Karl Benz sold the first commercial automobile,"automobile, benz","benz, karl benz, automobile"
1891,The German government initiated the first public old-age pension scheme,"german, pension","social insurance, age pension"
1892,"For the first time, Fingerprinting was officially adopted.",fingerprint,fingerprint
1893,New Zealand became the first country to enact women's suffrage,"women, new zealand, zealand","women suffrage, suffrage movement, suffragette"
1894,First commercial film was released by Jean Aimé Le Roy,"film, movie","film, movie"
1898,Britain obtained a 99-year lease of Hong Kong from China,"britain, china, hong, kong",hong kong
1900,Hawaii became an official USA territory,hawaii,hawaii
1900,"Hurricane ravages Galveston,",hurricane,Galveston hurricane
1900,Sigmund Freud's The Interpretation of Dreams.,"freud, dream",Sigmund Freud
1900,Chapman Catt succeeds Susan B. Anthony as president of National Woman Suffrage Association.,"women, suffrage, chapman, susa, anthony","Chapman Catt,  Susan Anthony, women suffrage, Suffragette"
1901,"In Stockholm (Sweden), the first Nobel Prize ceremony was held","nobel, sweden, stockholm",nobel prize
1901,"As President McKinley begins second term, he is shot fatally by anarchist Leon Czolgosz","president, mckinley, anarchist, czolgosz, anarchism","William McKinley, president McKinley"
1901,"Queen Victoria dies, and is succeeded by her son, Edward VII.","victoria, queen, king, edward, england","queen victoria, Edward VIl, edward seventh, king edward"
1901,Theodore Roosevelt become the youngest President of the United States,"roosevelt, usa, president",Theodore Roosevelt
1903,Henry Ford organizes Ford Motor Company.,"ford, motor","henry ford, ford motor"
1903,"Wright brothers, Orville and Wilbur, fly first powered, controlled, heavier-than-air plane at Kitty Hawk,","wright, fly, airplane","wright brother, airplane"
1904,Entente Cordiale: Britain and France settle their international differences,"britain, france, entente, cordiale",Entente Cordiale
1904,General theory of radioactivity by Rutherford and Soddy.,"radioactivity, rutherford, soddy.","radioactivity, rutherford, soddy, radioactive"
1904,Russian Japanese War,"russia, russian, japan, japanese, korea, manchuria","RussoJapanese  war, russo japanese"
1905,bloody sunday,"russia, sunday, petersburg, duma, parliament, october, manifesto, ","bloody sunday, red sunday"
1905,Albert Einstein's formulation of relativity,"relativity, einstein",Albert Einstein
1907,hauge peace conference,hauge,"hauge peace, peace conference"
1908,First commercial radio transmissions,radio,radio
1909,The National Association for the Advancement of Colored People is founded in New York by prominent black and white intellectuals and led by W.E.B. Du Bois.,"colored, bois",naacp
1910,"Angel Island, in San Francisco Bay, becomes immigration center for Asians entering U.S.","angel, francisco, bay, immigration, asian, aisa, us, usa",Angel Island
1911,Xinhai Revolution in China overthrows the Qing Dynasty,"china, xinhai, qing","Xinhai Revolution, Qing Dynasty"
1912,End of the Chinese Empire and Republic of China established,"china, chinese",Republic China
1912,First Balkan War began,"balkan, ottoman, turkey, turkish, bulgaria, serbia, greece, montenegro, serb, albania, muslim, turk",balkan war
1912,Woodrow Wilson elected as the 28th President of the United States,"woodrow, wilson, usa, president",Woodrow Wilson
1913,Second Balkan War and Treaty of Bucharest too place,"balkan, ottoman, turkey, turkish, bulgaria, serbia, greece, montenegro, serb, albania, muslim, turk, bucharest",balkan war
1914,Gavrilo Princip assassinated Archduke Franz Ferdinand of Austria in Sarajevo that triggered the World War I,"gavrilo, princip, archduke, ferdinand, austria, sarajevo","Franz Ferdinand, Gavrilo Princip"
1915,First use of poison gas at the Battle of Neuve Chapelle and Second Battle of Ypres,poison,chemical warfare
1916,The implementation of daylight saving time system,"daylight, light",daylight saving
