Year,Phrase,Frequency,Corpus,Parent
1850,George Washington,1.507470983597159e-6,en-US-2019,George Washington (All)
1851,George Washington,1.8125753058484406e-6,en-US-2019,George Washington (All)
1852,George Washington,1.9193855678167893e-6,en-US-2019,George Washington (All)
1853,George Washington,2.2923895812709816e-6,en-US-2019,George Washington (All)
1854,George Washington,1.8056233557217638e-6,en-US-2019,George Washington (All)
1855,George Washington,1.5967135595928994e-6,en-US-2019,George Washington (All)
1856,George Washington,1.9562676243367605e-6,en-US-2019,George Washington (All)
1857,George Washington,2.3211559891933575e-6,en-US-2019,George Washington (All)
1858,George Washington,1.8889344346462167e-6,en-US-2019,George Washington (All)
1859,George Washington,2.63270908362756e-6,en-US-2019,George Washington (All)
1860,George Washington,2.5988781544583617e-6,en-US-2019,George Washington (All)
1861,George Washington,2.1275861854519462e-6,en-US-2019,George Washington (All)
1862,George Washington,1.7120914890256245e-6,en-US-2019,George Washington (All)
1863,George Washington,1.9043112615690916e-6,en-US-2019,George Washington (All)
1864,George Washington,1.8599002942210063e-6,en-US-2019,George Washington (All)
1865,George Washington,2.1931418814347126e-6,en-US-2019,George Washington (All)
1866,George Washington,1.7892180039780214e-6,en-US-2019,George Washington (All)
1867,George Washington,1.662608497099427e-6,en-US-2019,George Washington (All)
1868,George Washington,1.6134239331222489e-6,en-US-2019,George Washington (All)
1869,George Washington,1.9185204109817278e-6,en-US-2019,George Washington (All)
1870,George Washington,2.010080606851261e-6,en-US-2019,George Washington (All)
1871,George Washington,1.800060317691532e-6,en-US-2019,George Washington (All)
1872,George Washington,1.5522598459938308e-6,en-US-2019,George Washington (All)
1873,George Washington,1.8113790929419338e-6,en-US-2019,George Washington (All)
1874,George Washington,1.8236754613099038e-6,en-US-2019,George Washington (All)
1875,George Washington,2.2551157599082217e-6,en-US-2019,George Washington (All)
1876,George Washington,2.3318432340602158e-6,en-US-2019,George Washington (All)
1877,George Washington,2.437702960378374e-6,en-US-2019,George Washington (All)
1878,George Washington,1.8289094896317692e-6,en-US-2019,George Washington (All)
1879,George Washington,1.7580398434802191e-6,en-US-2019,George Washington (All)
1880,George Washington,1.781888158802758e-6,en-US-2019,George Washington (All)
1881,George Washington,2.298987283211318e-6,en-US-2019,George Washington (All)
1882,George Washington,1.988653366424842e-6,en-US-2019,George Washington (All)
1883,George Washington,2.0860863969573984e-6,en-US-2019,George Washington (All)
1884,George Washington,2.0393388240336208e-6,en-US-2019,George Washington (All)
1885,George Washington,1.808107867873332e-6,en-US-2019,George Washington (All)
1886,George Washington,2.047825773843215e-6,en-US-2019,George Washington (All)
1887,George Washington,2.104659415635979e-6,en-US-2019,George Washington (All)
1888,George Washington,2.6036620965896873e-6,en-US-2019,George Washington (All)
1889,George Washington,3.7195220556895947e-6,en-US-2019,George Washington (All)
1890,George Washington,2.252236527056084e-6,en-US-2019,George Washington (All)
1891,George Washington,2.413066567896749e-6,en-US-2019,George Washington (All)
1892,George Washington,2.477038606230053e-6,en-US-2019,George Washington (All)
1893,George Washington,2.59482203546213e-6,en-US-2019,George Washington (All)
1894,George Washington,2.708896317926701e-6,en-US-2019,George Washington (All)
1895,George Washington,2.4034354737523245e-6,en-US-2019,George Washington (All)
1896,George Washington,2.822842589011998e-6,en-US-2019,George Washington (All)
1897,George Washington,3.122598172922153e-6,en-US-2019,George Washington (All)
1898,George Washington,2.8075178306607995e-6,en-US-2019,George Washington (All)
1899,George Washington,2.6157642878388287e-06,en-US-2019,George Washington (All)
1900,George Washington,2.7967059850197984e-6,en-US-2019,George Washington (All)
1901,George Washington,4.177687969786348e-6,en-US-2019,George Washington (All)
1902,George Washington,3.0026801596250152e-6,en-US-2019,George Washington (All)
1903,George Washington,2.8454642233555205e-6,en-US-2019,George Washington (All)
1904,George Washington,2.9213281322881812e-6,en-US-2019,George Washington (All)
1905,George Washington,3.3621438433328876e-6,en-US-2019,George Washington (All)
1906,George Washington,3.573957656044513e-6,en-US-2019,George Washington (All)
1907,George Washington,3.496232011457323e-6,en-US-2019,George Washington (All)
1908,George Washington,3.327189915580675e-6,en-US-2019,George Washington (All)
1909,George Washington,3.2062307582236826e-6,en-US-2019,George Washington (All)
1910,George Washington,3.5608341022452805e-6,en-US-2019,George Washington (All)
1911,George Washington,2.8650476906477707e-6,en-US-2019,George Washington (All)
1912,George Washington,3.1522542940365383e-6,en-US-2019,George Washington (All)
1913,George Washington,2.849225211321027e-6,en-US-2019,George Washington (All)
1914,George Washington,3.068048272325541e-6,en-US-2019,George Washington (All)
1915,George Washington,3.930972525267862e-6,en-US-2019,George Washington (All)
1916,George Washington,3.6452972835832043e-6,en-US-2019,George Washington (All)
1917,George Washington,3.3377793897670927e-6,en-US-2019,George Washington (All)
1918,George Washington,3.1377371669805143e-6,en-US-2019,George Washington (All)
1919,George Washington,3.532530627126107e-6,en-US-2019,George Washington (All)
1920,George Washington,3.4066165426338557e-6,en-US-2019,George Washington (All)
1921,George Washington,3.858772743114969e-6,en-US-2019,George Washington (All)
1922,George Washington,3.757495733225369e-6,en-US-2019,George Washington (All)
1923,George Washington,4.057868864038028e-6,en-US-2019,George Washington (All)
1924,George Washington,4.2929545998049434e-6,en-US-2019,George Washington (All)
1925,George Washington,4.89067360831541e-6,en-US-2019,George Washington (All)
1926,George Washington,5.697016604244709e-6,en-US-2019,George Washington (All)
1927,George Washington,6.231585302884923e-6,en-US-2019,George Washington (All)
1928,George Washington,5.758377028541872e-6,en-US-2019,George Washington (All)
1929,George Washington,6.144688541098731e-6,en-US-2019,George Washington (All)
1930,George Washington,7.709266355959699e-6,en-US-2019,George Washington (All)
1931,George Washington,1.2074301594111603e-5,en-US-2019,George Washington (All)
1932,George Washington,1.5892308510956354e-5,en-US-2019,George Washington (All)
1933,George Washington,6.83147436575382e-6,en-US-2019,George Washington (All)
1934,George Washington,6.321577984635951e-6,en-US-2019,George Washington (All)
1935,George Washington,6.587986263184575e-6,en-US-2019,George Washington (All)
1936,George Washington,6.266660875553498e-6,en-US-2019,George Washington (All)
1937,George Washington,6.693965588056017e-6,en-US-2019,George Washington (All)
1938,George Washington,6.011709047015756e-6,en-US-2019,George Washington (All)
1939,George Washington,6.280315574258566e-6,en-US-2019,George Washington (All)
1940,George Washington,6.0521379054989666e-6,en-US-2019,George Washington (All)
1941,George Washington,6.275303803704446e-6,en-US-2019,George Washington (All)
1942,George Washington,5.667736786563182e-6,en-US-2019,George Washington (All)
1943,George Washington,5.468291419674642e-6,en-US-2019,George Washington (All)
1944,George Washington,5.4232468755799346e-6,en-US-2019,George Washington (All)
1945,George Washington,4.816424734599423e-6,en-US-2019,George Washington (All)
1946,George Washington,5.463299658003962e-6,en-US-2019,George Washington (All)
1947,George Washington,5.151671302883187e-6,en-US-2019,George Washington (All)
1948,George Washington,5.498769951373106e-6,en-US-2019,George Washington (All)
1949,George Washington,4.994559731130721e-6,en-US-2019,George Washington (All)
1950,George Washington,5.975465683150105e-6,en-US-2019,George Washington (All)
1951,George Washington,5.007402251067106e-6,en-US-2019,George Washington (All)
1952,George Washington,5.132564183440991e-6,en-US-2019,George Washington (All)
1953,George Washington,4.956809789291583e-6,en-US-2019,George Washington (All)
1954,George Washington,4.821615675609792e-6,en-US-2019,George Washington (All)
1955,George Washington,4.693989922088804e-6,en-US-2019,George Washington (All)
1956,George Washington,4.951281880494207e-6,en-US-2019,George Washington (All)
1957,George Washington,4.726112365460722e-6,en-US-2019,George Washington (All)
1958,George Washington,5.3137619033805095e-6,en-US-2019,George Washington (All)
1959,George Washington,4.911538781016134e-6,en-US-2019,George Washington (All)
1960,George Washington,4.926378096570261e-6,en-US-2019,George Washington (All)
1961,George Washington,6.900746939209057e-6,en-US-2019,George Washington (All)
1962,George Washington,5.008411790186074e-6,en-US-2019,George Washington (All)
1963,George Washington,4.979599907528609e-6,en-US-2019,George Washington (All)
1964,George Washington,5.180768766877009e-6,en-US-2019,George Washington (All)
1965,George Washington,5.067437086836435e-6,en-US-2019,George Washington (All)
1966,George Washington,5.312132543622283e-6,en-US-2019,George Washington (All)
1967,George Washington,5.180123480386101e-6,en-US-2019,George Washington (All)
1968,George Washington,5.462622539198492e-6,en-US-2019,George Washington (All)
1969,George Washington,5.716073701478308e-6,en-US-2019,George Washington (All)
1970,George Washington,5.207542926655151e-6,en-US-2019,George Washington (All)
1971,George Washington,4.893143795925425e-6,en-US-2019,George Washington (All)
1972,George Washington,4.808197900274536e-6,en-US-2019,George Washington (All)
1973,George Washington,4.826290023629554e-6,en-US-2019,George Washington (All)
1974,George Washington,5.291886282066116e-6,en-US-2019,George Washington (All)
1975,George Washington,5.199492534302408e-6,en-US-2019,George Washington (All)
1976,George Washington,6.196747563080862e-6,en-US-2019,George Washington (All)
1977,George Washington,4.6251593630586285e-6,en-US-2019,George Washington (All)
1978,George Washington,4.544229341263417e-6,en-US-2019,George Washington (All)
1979,George Washington,4.376094238978112e-6,en-US-2019,George Washington (All)
1980,George Washington,4.306345999793848e-6,en-US-2019,George Washington (All)
1981,George Washington,4.9237360144616105e-6,en-US-2019,George Washington (All)
1982,George Washington,4.8590859478281345e-6,en-US-2019,George Washington (All)
1983,George Washington,4.580168479151325e-6,en-US-2019,George Washington (All)
1984,George Washington,4.286286184651544e-6,en-US-2019,George Washington (All)
1985,George Washington,4.116421223443467e-6,en-US-2019,George Washington (All)
1986,George Washington,4.43251201431849e-6,en-US-2019,George Washington (All)
1987,George Washington,4.199465820420301e-6,en-US-2019,George Washington (All)
1988,George Washington,4.5413880798150785e-6,en-US-2019,George Washington (All)
1989,George Washington,4.891642674920149e-6,en-US-2019,George Washington (All)
1990,George Washington,4.24645531893475e-6,en-US-2019,George Washington (All)
1991,George Washington,5.2071159188926686e-6,en-US-2019,George Washington (All)
1992,George Washington,4.600429292622721e-6,en-US-2019,George Washington (All)
1993,George Washington,5.4690963224857114e-6,en-US-2019,George Washington (All)
1994,George Washington,5.408638116932707e-6,en-US-2019,George Washington (All)
1995,George Washington,4.782749783771578e-6,en-US-2019,George Washington (All)
1996,George Washington,4.964344952895772e-6,en-US-2019,George Washington (All)
1997,George Washington,4.473419267014833e-6,en-US-2019,George Washington (All)
1998,George Washington,5.1124584388162475e-6,en-US-2019,George Washington (All)
1999,George Washington,6.221177045517834e-6,en-US-2019,George Washington (All)
2000,George Washington,5.468630661198404e-6,en-US-2019,George Washington (All)
2001,George Washington,4.648079539038008e-6,en-US-2019,George Washington (All)
2002,George Washington,5.185961526876781e-6,en-US-2019,George Washington (All)
2003,George Washington,4.695832558354596e-6,en-US-2019,George Washington (All)
2004,George Washington,4.466649443202186e-6,en-US-2019,George Washington (All)
2005,George Washington,4.5978390517120715e-6,en-US-2019,George Washington (All)
2006,George Washington,4.484819783101557e-6,en-US-2019,George Washington (All)
2007,George Washington,4.935486231261166e-6,en-US-2019,George Washington (All)
2008,George Washington,4.78092943012598e-6,en-US-2019,George Washington (All)
2009,George Washington,4.406583684612997e-6,en-US-2019,George Washington (All)
2010,George Washington,4.020810138172237e-6,en-US-2019,George Washington (All)
1850,GEORGE WASHINGTON,1.8097739484801423e-7,en-US-2019,George Washington (All)
1851,GEORGE WASHINGTON,3.147182781049196e-7,en-US-2019,George Washington (All)
1852,GEORGE WASHINGTON,2.1208226996805024e-7,en-US-2019,George Washington (All)
1853,GEORGE WASHINGTON,2.9688325753340905e-7,en-US-2019,George Washington (All)
1854,GEORGE WASHINGTON,2.462521138113516e-7,en-US-2019,George Washington (All)
1855,GEORGE WASHINGTON,2.259849765096078e-7,en-US-2019,George Washington (All)
1856,GEORGE WASHINGTON,3.0729873401469376e-7,en-US-2019,George Washington (All)
1857,GEORGE WASHINGTON,4.2896732566077844e-7,en-US-2019,George Washington (All)
1858,GEORGE WASHINGTON,3.406275084216759e-7,en-US-2019,George Washington (All)
1859,GEORGE WASHINGTON,2.495146702585771e-7,en-US-2019,George Washington (All)
1860,GEORGE WASHINGTON,3.2872605970624136e-7,en-US-2019,George Washington (All)
1861,GEORGE WASHINGTON,2.0744475648371008e-7,en-US-2019,George Washington (All)
1862,GEORGE WASHINGTON,1.513849241518983e-7,en-US-2019,George Washington (All)
1863,GEORGE WASHINGTON,1.7021139342432434e-7,en-US-2019,George Washington (All)
1864,GEORGE WASHINGTON,1.3824197253597958e-7,en-US-2019,George Washington (All)
1865,GEORGE WASHINGTON,3.349953203723999e-7,en-US-2019,George Washington (All)
1866,GEORGE WASHINGTON,1.7423646170300344e-7,en-US-2019,George Washington (All)
1867,GEORGE WASHINGTON,1.3939910559201962e-7,en-US-2019,George Washington (All)
1868,GEORGE WASHINGTON,1.51134202042158e-7,en-US-2019,George Washington (All)
1869,GEORGE WASHINGTON,1.841610242081515e-7,en-US-2019,George Washington (All)
1870,GEORGE WASHINGTON,1.408169794103742e-7,en-US-2019,George Washington (All)
1871,GEORGE WASHINGTON,3.1080674034456024e-7,en-US-2019,George Washington (All)
1872,GEORGE WASHINGTON,1.4916119539520878e-7,en-US-2019,George Washington (All)
1873,GEORGE WASHINGTON,2.607240787710907e-7,en-US-2019,George Washington (All)
1874,GEORGE WASHINGTON,1.238113611634617e-7,en-US-2019,George Washington (All)
1875,GEORGE WASHINGTON,1.4261847525176563e-7,en-US-2019,George Washington (All)
1876,GEORGE WASHINGTON,2.2072582339660585e-7,en-US-2019,George Washington (All)
1877,GEORGE WASHINGTON,1.5763301064453117e-7,en-US-2019,George Washington (All)
1878,GEORGE WASHINGTON,1.20073934795073e-7,en-US-2019,George Washington (All)
1879,GEORGE WASHINGTON,1.270678495757238e-7,en-US-2019,George Washington (All)
1880,GEORGE WASHINGTON,2.633354370118468e-7,en-US-2019,George Washington (All)
1881,GEORGE WASHINGTON,1.384493231171291e-7,en-US-2019,George Washington (All)
1882,GEORGE WASHINGTON,1.413143024819874e-7,en-US-2019,George Washington (All)
1883,GEORGE WASHINGTON,1.0784424375742674e-7,en-US-2019,George Washington (All)
1884,GEORGE WASHINGTON,1.632095916193066e-7,en-US-2019,George Washington (All)
1885,GEORGE WASHINGTON,1.9769085213283688e-7,en-US-2019,George Washington (All)
